,Company,ReceiveOffer,RejectOffer,Deal_Yes,Deal_No,Number of Presenters,Eth1,Eth2,Eth3,Eth4,Eth5,Male1,Male2,Male3,Male4,Female1,Female2,Female3,Female4,Novelties,Health_Wellness,Food_Beverage,Business_Services,Lifestyle,Software_Tech,Education,Automotive,Fashion_Beauty,Entertainment,Fitness,Pet_Products,Travel,CleanTech,other,MalePresenter,FemalePresenter,MixedGenderPresenters,CompanyState,AmountRequested,EquityRequested,ImpliedValuationRequested,BarbaraCorcoran,MarkCuban,LoriGreiner,RobertHerjavec,DaymondJohn,KevinOLeary,KevinHarrington,Guest
53,THINgloss,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,IN,80000,0.2,4.00E+05,1,0,0,1,1,1,1,0
54,CarsikBib,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,CA,30000,0.15,2.00E+05,1,0,0,1,1,1,0,1
55,Hydromax,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,TX,50000,0.25,2.00E+05,1,0,0,1,1,1,0,1
56,Games2U,1,1,0,1,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,TX,5.00E+05,0.1,5.00E+06,1,0,0,1,1,1,0,1
57,Ecomowers,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,MD,90000,0.2,450000,1,0,0,1,1,1,0,1
58,ManCandle,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,OK,50000,0.25,2.00E+05,1,1,0,1,1,1,0,0
59,Hy-Conn,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,AR,5.00E+05,0.4,1250000,1,1,0,1,1,1,0,0
60,Origaudio,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,CA,150000,0.15,1.00E+06,1,1,0,1,1,1,0,0
61,OneSole,1,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,FL,5.00E+05,0.2,2500000,1,0,0,1,1,1,1,0
62,AldoOrtaJewelry,1,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,IL,180000,0.45,4.00E+05,1,0,0,1,1,1,1,0
63,CitiKitty,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,PA,1.00E+05,0.15,666667,1,0,0,1,1,1,1,0
64,SamsonMartin,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,IL,50000,0.15,333333,1,0,0,1,1,1,1,0
65,TheCleanBottle,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,CA,60000,0.05,1200000,1,1,0,1,1,1,0,0
66,BusinessGhost,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CA,2.00E+05,0.1,2.00E+06,1,1,0,1,1,1,0,0
67,EZVIP,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,FL,150000,0.15,1.00E+06,1,1,0,1,1,1,0,0
68,Salespreneur,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CT,90000,0.4,225000,1,1,0,1,1,1,0,0
69,IWanttoDrawaCatforYou,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,IL,10000,0.25,40000,1,1,0,1,1,1,0,0
70,LiquidMoney,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FL,1.00E+05,0.05,2.00E+06,1,1,0,1,1,1,0,0
71,ChordBuddy,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,AL,125000,0.1,1250000,1,1,0,1,1,1,0,0
72,YouSmellSoap,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,TX,55000,0.2,275000,1,1,0,1,1,1,0,0
73,ShowNo,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CA,50000,0.25,2.00E+05,0,1,1,1,1,1,0,0
74,PuppyCake,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,PA,50000,0.25,2.00E+05,0,1,1,1,1,1,0,0
75,WineBalloon,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,OH,40000,0.3,133333,0,1,1,1,1,1,0,0
76,LedgePillow,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FL,30000,0.25,120000,0,1,1,1,1,1,0,0
77,M3GirlDesigns,1,0,1,0,3,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,TX,3.00E+05,0.15,2.00E+06,0,1,1,1,1,1,0,0
78,TalbottTeas,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CA,250000,0.2,1250000,0,1,1,1,1,1,0,0
79,TheLastLid,1,0,1,0,2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,RI,40000,0.2,2.00E+05,0,1,1,1,1,1,0,0
80,EssoWatches,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,AZ,35000,0.2,175000,0,1,1,1,1,1,0,0
81,ThePaintedPretzel,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,AZ,1.00E+05,0.25,4.00E+05,0,1,1,1,1,1,0,0
82,Five-MinuteFurniture,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,MT,250000,0.25,1.00E+06,0,1,1,1,1,1,0,0
83,ScotteVest,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,ID,5.00E+05,0.15,3333333,1,1,0,1,1,1,0,0
84,Kisstixx,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,UT,2.00E+05,0.2,1.00E+06,1,1,0,1,1,1,0,0
85,Rent-A-Grandma,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CA,150000,0.2,750000,1,1,0,1,1,1,0,0
86,MisoMedia,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,CA,3.00E+05,0.05,6.00E+06,1,1,0,1,1,1,0,0
87,Vinamor,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,CO,75000,0.3,250000,1,1,0,1,1,1,0,0
88,BarkemsToGo,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,CA,1.00E+05,0.51,196078,1,1,0,1,1,1,0,0
89,BrewersCowIceCream,0,0,0,1,3,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CT,125000,0.15,833333,1,1,0,1,1,1,0,0
